"","time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","coords"
"1","2016-07-28T10:17:17Z",51.807476,5.832761,"105.357.054","3.000.000","82.077.187",2.478207,0,"gps","51.807476:5.832761"
"2","2016-07-28T10:19:46Z",51.807415,5.832766,"80.579.616","6.000.000","111.348.122",0.771815,0,"gps","51.807415:5.832766"
"3","2016-07-28T10:33:53Z",51.807922,5.832979,"99.956.006","32.000.000","0",0.09374,4,"gps","51.807922:5.832979"
"4","2016-07-28T11:06:39Z",51.807765,5.833076,"83.132.862","12.000.000","0",0,7,"gps","51.807765:5.833076"
"5","2016-07-28T11:06:49Z",51.807595,5.833179,"79.863.469","24.000.000","119.781.586",0.925954,7,"gps","51.807595:5.833179"
"6","2016-07-28T11:07:09Z",51.807645,5.832906,"51.693.284","6.000.000","0",0,5,"gps","51.807645:5.832906"
"7","2016-07-28T11:07:20Z",51.807629,5.833204,"49.123.517","24.000.000","242.787.476",0.805337,12,"gps","51.807629:5.833204"
"8","2016-07-28T11:07:31Z",51.807428,5.832889,"52.748.094","24.000.000","86.686.813",0.318644,6,"gps","51.807428:5.832889"
"9","2016-07-28T11:07:42Z",51.807335,5.833496,"54.585.867","16.000.000","345.361.389",0.824293,6,"gps","51.807335:5.833496"
"10","2016-07-28T11:07:53Z",51.807373,5.833345,"46.457.981","24.000.000","0",0,6,"gps","51.807373:5.833345"
"11","2016-07-28T11:08:15Z",51.807743,5.833081,"55.644.137","12.000.000","0",0,4,"gps","51.807743:5.833081"
"12","2016-07-28T11:08:36Z",51.807568,5.833017,"82.094.118","16.000.000","0",0,5,"gps","51.807568:5.833017"
"13","2016-07-28T11:12:53Z",51.807576,5.833,"50.025.905","3.000.000","191.060.257",0.655961,0,"gps","51.807576:5.833"
"14","2016-07-28T11:13:26Z",51.807366,5.833184,"34.554.325","24.000.000","0",0,5,"gps","51.807366:5.833184"
"15","2016-07-28T11:16:09Z",51.807448,5.832694,"39.792.909","8.000.000","0",0,3,"gps","51.807448:5.832694"
"16","2016-07-28T11:17:05Z",51.80754,5.833509,"75.561.736","12.000.000","0",0,6,"gps","51.80754:5.833509"
"17","2016-07-28T11:17:16Z",51.80753,5.833195,"64.254.368","12.000.000","0",0,7,"gps","51.80753:5.833195"
"18","2016-07-28T11:17:26Z",51.80748,5.83324,"52.086.635","6.000.000","0",1.264556,7,"gps","51.80748:5.83324"
"19","2016-07-28T11:17:44Z",51.807457,5.833266,"50.987.458","8.000.000","323.006.470",1.208723,7,"gps","51.807457:5.833266"
"20","2016-07-28T11:18:14Z",51.807568,5.833169,"94.670.168","8.000.000","89.228.775",1.093751,0,"gps","51.807568:5.833169"
"21","2016-07-28T11:18:42Z",51.807705,5.833131,"69.571.633","16.000.000","226.507.278",0.208961,0,"gps","51.807705:5.833131"
"22","2016-07-28T11:18:53Z",51.807814,5.83326,"84.180.440","32.000.000","37.169.960",1.448315,8,"gps","51.807814:5.83326"
"23","2016-07-28T11:19:04Z",51.807887,5.833331,"69.312.887","6.000.000","0",0.813154,9,"gps","51.807887:5.833331"
"24","2016-07-28T11:19:18Z",51.807991,5.833539,"65.552.296","6.000.000","46.766.739",0.778695,12,"gps","51.807991:5.833539"
"25","2016-07-28T11:19:32Z",51.808045,5.833778,"57.821.012","16.000.000","120.426.331",1.317895,12,"gps","51.808045:5.833778"
"26","2016-07-28T11:19:43Z",51.808008,5.833509,"58.112.334","24.000.000","176.328.705",0.05736,12,"gps","51.808008:5.833509"
"27","2016-07-28T11:19:54Z",51.808026,5.833826,"53.031.053","12.000.000","46.746.883",0.541189,6,"gps","51.808026:5.833826"
"28","2016-07-28T11:20:05Z",51.808244,5.833978,"63.156.872","32.000.000","58.265.831",1.326611,12,"gps","51.808244:5.833978"
"29","2016-07-28T11:20:26Z",51.808537,5.834098,"57.106.321","24.000.000","452.902",1.513756,12,"gps","51.808537:5.834098"
"30","2016-07-28T11:20:37Z",51.80857,5.83412,"75.099.423","8.000.000","316.205.048",1.500239,7,"gps","51.80857:5.83412"
"31","2016-07-28T11:20:48Z",51.808687,5.833963,"64.744.225","12.000.000","326.774.719",1.350713,12,"gps","51.808687:5.833963"
"32","2016-07-28T11:21:05Z",51.808828,5.83369,"59.290.335","8.000.000","326.391.418",1.428378,10,"gps","51.808828:5.83369"
"33","2016-07-28T11:21:21Z",51.808988,5.833474,"55.447.348","6.000.000","337.713.715",1.517741,12,"gps","51.808988:5.833474"
"34","2016-07-28T11:21:39Z",51.809182,5.833229,"55.302.428","6.000.000","322.815.399",1.419111,12,"gps","51.809182:5.833229"
"35","2016-07-28T11:21:50Z",51.809284,5.833056,"55.243.814","6.000.000","323.387.909",1.490403,12,"gps","51.809284:5.833056"
"36","2016-07-28T11:22:01Z",51.809389,5.8329,"54.994.594","6.000.000","327.103.027",1.739997,12,"gps","51.809389:5.8329"
"37","2016-07-28T11:22:12Z",51.809505,5.832734,"55.064.394","6.000.000","312.863.678",1.621278,12,"gps","51.809505:5.832734"
"38","2016-07-28T11:22:23Z",51.809623,5.832574,"54.989.450","8.000.000","342.013.123",1.535731,12,"gps","51.809623:5.832574"
"39","2016-07-28T11:22:34Z",51.809742,5.832383,"55.518.972","6.000.000","318.255.859",1.463885,12,"gps","51.809742:5.832383"
"40","2016-07-28T11:22:45Z",51.80984,5.832235,"56.104.879","4.000.000","320.486.725",1.416155,12,"gps","51.80984:5.832235"
"41","2016-07-28T11:22:57Z",51.809975,5.832072,"56.065.434","6.000.000","319.101.166",1.396566,12,"gps","51.809975:5.832072"
"42","2016-07-28T11:23:15Z",51.810138,5.831837,"54.653.392","12.000.000","341.217.316",1.41707,12,"gps","51.810138:5.831837"
"43","2016-07-28T11:23:32Z",51.810335,5.831585,"54.858.898","8.000.000","317.217.468",1.362402,12,"gps","51.810335:5.831585"
"44","2016-07-28T11:23:50Z",51.810537,5.83139,"55.663.132","8.000.000","357.137.054",1.279059,12,"gps","51.810537:5.83139"
"45","2016-07-28T11:24:07Z",51.810737,5.831245,"53.694.711","8.000.000","293.707.886",1.3747,12,"gps","51.810737:5.831245"
"46","2016-07-28T11:24:18Z",51.810834,5.831043,"52.601.850","8.000.000","309.538.208",1.234221,12,"gps","51.810834:5.831043"
"47","2016-07-28T11:24:36Z",51.81114,5.831153,"57.255.836","12.000.000","62.513.165",1.482397,8,"gps","51.81114:5.831153"
"48","2016-07-28T11:24:49Z",51.811269,5.831406,"73.584.055","12.000.000","42.424.236",1.446132,0,"gps","51.811269:5.831406"
"49","2016-07-28T11:25:00Z",51.811283,5.831488,"64.333.498","8.000.000","39.950.905",0,12,"gps","51.811283:5.831488"
"50","2016-07-28T11:25:16Z",51.811383,5.831623,"56.024.833","8.000.000","38.062.569",1.214105,12,"gps","51.811383:5.831623"
"51","2016-07-28T11:25:27Z",51.811826,5.831646,"49.319.812","32.000.000","28.959.152",1.657317,12,"gps","51.811826:5.831646"
"52","2016-07-28T11:25:45Z",51.811691,5.832058,"39.981.573","24.000.000","328.950.134",0.791453,12,"gps","51.811691:5.832058"
"53","2016-07-28T11:25:56Z",51.811679,5.831843,"56.175.844","32.000.000","80.772.316",0.262444,6,"gps","51.811679:5.831843"
"54","2016-07-28T11:26:07Z",51.811611,5.831842,"55.112.638","6.000.000","7.339.410",0.016126,10,"gps","51.811611:5.831842"
"55","2016-07-28T11:26:18Z",51.81145,5.831843,"51.021.017","24.000.000","262.065.155",0.085442,10,"gps","51.81145:5.831843"
"56","2016-07-28T11:26:29Z",51.811408,5.831814,"57.679.938","32.000.000","156.792.282",0.008212,8,"gps","51.811408:5.831814"
"57","2016-07-28T11:27:15Z",51.81157,5.831972,"101.796.284","12.000.000","143.348.862",0.467348,0,"gps","51.81157:5.831972"
"58","2016-07-28T11:27:41Z",51.811753,5.832137,"97.352.896","24.000.000","199.600.906",1.178648,0,"gps","51.811753:5.832137"
"59","2016-07-28T11:28:24Z",51.811486,5.831829,"43.457.755","16.000.000","138.951.706",0.814687,0,"gps","51.811486:5.831829"
"60","2016-07-28T11:28:50Z",51.811658,5.831911,"74.180.125","8.000.000","200.068.695",0.943983,0,"gps","51.811658:5.831911"
"61","2016-07-28T11:29:51Z",51.811522,5.831855,"55.206.499","12.000.000","0",0,8,"gps","51.811522:5.831855"
"62","2016-07-28T11:30:28Z",51.811612,5.831783,"75.617.142","8.000.000","253.320.572",1.42126,5,"gps","51.811612:5.831783"
"63","2016-07-28T11:30:54Z",51.811438,5.831646,"62.301.915","24.000.000","323.507.263",0.34365,0,"gps","51.811438:5.831646"
"64","2016-07-28T11:34:45Z",51.811505,5.831776,"35.184.971","6.000.000","250.327.637",0.638233,0,"gps","51.811505:5.831776"
"65","2016-07-28T11:34:55Z",51.81151,5.831753,"66.378.010","6.000.000","0",0,12,"gps","51.81151:5.831753"
"66","2016-07-28T11:35:21Z",51.812348,5.833456,"58.989.957","32.000.000","55.187.294",11.055006,0,"gps","51.812348:5.833456"
"67","2016-07-28T11:36:13Z",51.816041,5.839851,"57.854.442","12.000.000","43.939.198",4.10146,6,"gps","51.816041:5.839851"
"68","2016-07-28T11:36:32Z",51.816592,5.840746,"65.557.143","16.000.000","44.757.370",7.066278,10,"gps","51.816592:5.840746"
"69","2016-07-28T11:36:46Z",51.817033,5.841404,"68.647.072","12.000.000","45.130.657",0,8,"gps","51.817033:5.841404"
"70","2016-07-28T11:37:21Z",51.817722,5.842473,"84.587.309","24.000.000","44.695.660",4.549268,8,"gps","51.817722:5.842473"
"71","2016-07-28T11:37:39Z",51.818807,5.843868,"65.189.173","8.000.000","41.467.239",9.912286,8,"gps","51.818807:5.843868"
"72","2016-07-28T11:37:50Z",51.81964,5.845054,"66.803.713","12.000.000","40.349.689",10.407238,12,"gps","51.81964:5.845054"
"73","2016-07-28T11:38:05Z",51.820004,5.845661,"69.493.339","6.000.000","44.461.544",0,13,"gps","51.820004:5.845661"
"74","2016-07-28T11:38:39Z",51.819978,5.845789,"76.646.473","24.000.000","0",0,9,"gps","51.819978:5.845789"
"75","2016-07-28T11:39:18Z",51.819613,5.849817,"59.304.756","16.000.000","105.042.343",1.793063,3,"gps","51.819613:5.849817"
"76","2016-07-28T11:39:43Z",51.819611,5.850092,"93.111.050","24.000.000","0",0.589869,0,"gps","51.819611:5.850092"
"77","2016-07-28T11:40:02Z",51.819419,5.852226,"59.854.899","8.000.000","96.238.983",11.452042,10,"gps","51.819419:5.852226"
"78","2016-07-28T11:40:18Z",51.818771,5.854404,"15.858.113","32.000.000","0",1.313236,0,"gps","51.818771:5.854404"
"79","2016-07-28T11:40:32Z",51.818915,5.854824,"45.753.622","24.000.000","103.767.868",0,9,"gps","51.818915:5.854824"
"80","2016-07-28T11:40:46Z",51.819104,5.855296,"43.119.574","16.000.000","98.358.635",5.267047,10,"gps","51.819104:5.855296"
"81","2016-07-28T11:40:57Z",51.819671,5.855981,"49.211.877","16.000.000","11.998.997",8.981562,10,"gps","51.819671:5.855981"
"82","2016-07-28T11:41:12Z",51.820974,5.856274,"63.951.173","16.000.000","22.010.801",5.427859,12,"gps","51.820974:5.856274"
"83","2016-07-28T11:41:23Z",51.82085,5.857465,"76.122.850","8.000.000","98.776.970",9.201999,10,"gps","51.82085:5.857465"
"84","2016-07-28T11:41:39Z",51.820617,5.860376,"63.995.167","12.000.000","97.925.209",14.605648,8,"gps","51.820617:5.860376"
"85","2016-07-28T11:41:56Z",51.820323,5.863735,"63.936.860","16.000.000","100.750.504",12.509685,9,"gps","51.820323:5.863735"
"86","2016-07-28T11:42:07Z",51.820153,5.865464,"60.163.112","16.000.000","97.754.585",10.574689,9,"gps","51.820153:5.865464"
"87","2016-07-28T11:42:18Z",51.820018,5.866543,"57.299.587","8.000.000","139.625.427",4.599447,12,"gps","51.820018:5.866543"
"88","2016-07-28T11:42:45Z",51.821935,5.867006,"164.672.043","24.000.000","8.199.828",10.442137,0,"gps","51.821935:5.867006"
"89","2016-07-28T11:42:55Z",51.822678,5.867234,"78.817.117","8.000.000","9.472.114",8.981614,11,"gps","51.822678:5.867234"
"90","2016-07-28T11:43:21Z",51.823121,5.867305,"38.372.925","6.000.000","0",1.817077,0,"gps","51.823121:5.867305"
"91","2016-07-28T11:43:44Z",51.825301,5.867574,"130.090.925","24.000.000","12.728.148",7.341393,0,"gps","51.825301:5.867574"
"92","2016-07-28T11:43:55Z",51.826055,5.868531,"85.116.013","12.000.000","26.829.561",9.439786,12,"gps","51.826055:5.868531"
"93","2016-07-28T11:44:05Z",51.826492,5.869022,"80.053.263","12.000.000","32.128.082",0,13,"gps","51.826492:5.869022"
"94","2016-07-28T11:44:16Z",51.82648,5.869033,"73.399.879","24.000.000","32.128.082",0,10,"gps","51.82648:5.869033"
"95","2016-07-28T11:44:27Z",51.826665,5.868959,"80.543.141","6.000.000","319.228.088",5.883156,11,"gps","51.826665:5.868959"
"96","2016-07-28T11:44:37Z",51.826935,5.868572,"81.883.048","16.000.000","320.642.822",0.017668,10,"gps","51.826935:5.868572"
"97","2016-07-28T11:45:16Z",51.829054,5.864522,"87.855.031","12.000.000","315.748.352",12.974738,0,"gps","51.829054:5.864522"
"98","2016-07-28T11:45:34Z",51.831184,5.861241,"79.473.218","16.000.000","316.231.415",16.317558,7,"gps","51.831184:5.861241"
"99","2016-07-28T11:45:45Z",51.832304,5.859563,"60.608.781","12.000.000","314.356.812",14.799277,8,"gps","51.832304:5.859563"
"100","2016-07-28T11:45:56Z",51.833222,5.858141,"68.936.197","24.000.000","317.727.295",12.151546,7,"gps","51.833222:5.858141"
"101","2016-07-28T11:46:30Z",51.835634,5.854389,"99.181.204","32.000.000","316.840.485",14.830092,8,"gps","51.835634:5.854389"
"102","2016-07-28T11:46:41Z",51.836639,5.85269,"74.788.360","32.000.000","323.732.819",13.084769,8,"gps","51.836639:5.85269"
"103","2016-07-28T11:46:52Z",51.837738,5.851864,"80.356.411","16.000.000","337.037.964",12.699968,11,"gps","51.837738:5.851864"
"104","2016-07-28T11:47:08Z",51.839363,5.85185,"82.310.788","24.000.000","23.504.023",10.50703,10,"gps","51.839363:5.85185"
"105","2016-07-28T11:47:19Z",51.840205,5.852443,"68.312.249","12.000.000","18.612.844",9.350329,9,"gps","51.840205:5.852443"
"106","2016-07-28T11:47:56Z",51.84309,5.853696,"62.337.497","16.000.000","14.030.805",9.320691,8,"gps","51.84309:5.853696"
"107","2016-07-28T11:48:14Z",51.843983,5.854374,"101.422.916","16.000.000","15.953.669",0,9,"gps","51.843983:5.854374"
"108","2016-07-28T11:48:25Z",51.84397,5.854127,"102.282.082","16.000.000","284.833.466",2.82967,8,"gps","51.84397:5.854127"
"109","2016-07-28T11:48:39Z",51.844085,5.853675,"99.944.434","12.000.000","280.249.603",0,8,"gps","51.844085:5.853675"
"110","2016-07-28T11:48:53Z",51.843984,5.853493,"97.772.703","12.000.000","161.174.576",0.830356,8,"gps","51.843984:5.853493"
"111","2016-07-28T11:49:14Z",51.844039,5.854013,"83.973.977","24.000.000","91.593.002",1.245783,0,"gps","51.844039:5.854013"
"112","2016-07-28T11:49:41Z",51.843493,5.854139,"62.563.735","24.000.000","139.811.935",1.457381,0,"gps","51.843493:5.854139"
"113","2016-07-28T11:49:51Z",51.843357,5.854296,"74.414.130","6.000.000","0",0.860668,14,"gps","51.843357:5.854296"
"114","2016-07-28T11:50:35Z",51.843356,5.855394,"69.846.164","8.000.000","0",0,4,"gps","51.843356:5.855394"
"115","2016-07-28T11:50:45Z",51.843472,5.855431,"83.485.036","6.000.000","0",0.709293,5,"gps","51.843472:5.855431"
"116","2016-07-28T12:37:41Z",51.843744,5.853924,"75.251.853","8.000.000","0",0,0,"gps","51.843744:5.853924"
"117","2016-07-28T12:37:52Z",51.843683,5.853895,"69.333.702","6.000.000","0",0,12,"gps","51.843683:5.853895"
"118","2016-07-28T12:38:03Z",51.843683,5.853895,"69.313.164","8.000.000","0",0,12,"gps","51.843683:5.853895"
"119","2016-07-28T12:38:14Z",51.843732,5.853879,"55.011.623","16.000.000","0",0,0,"gps","51.843732:5.853879"
"120","2016-07-28T12:38:36Z",51.843422,5.853882,"98.092.749","32.000.000","0",0.894354,7,"gps","51.843422:5.853882"
"121","2016-07-28T12:38:47Z",51.84272,5.853711,"74.079.727","12.000.000","198.549.942",5.289594,12,"gps","51.84272:5.853711"
"122","2016-07-28T12:39:03Z",51.841552,5.852957,"62.998.429","8.000.000","195.827.377",8.063681,12,"gps","51.841552:5.852957"
"123","2016-07-28T12:39:18Z",51.840432,5.852112,"44.940.272","16.000.000","199.553.589",7.857609,0,"gps","51.840432:5.852112"
"124","2016-07-28T12:39:28Z",51.839583,5.85187,"58.552.356","12.000.000","205.409.546",9.073521,12,"gps","51.839583:5.85187"
"125","2016-07-28T12:39:46Z",51.838634,5.85061,"76.658.969","6.000.000","236.356.842",8.753944,12,"gps","51.838634:5.85061"
"126","2016-07-28T12:39:56Z",51.838212,5.849947,"74.488.128","6.000.000","189.470.062",6.713083,12,"gps","51.838212:5.849947"
"127","2016-07-28T12:40:07Z",51.837423,5.849791,"72.863.368","8.000.000","191.619.339",6.98008,11,"gps","51.837423:5.849791"
"128","2016-07-28T12:40:22Z",51.837245,5.84968,"71.894.672","16.000.000","202.706.238",0,12,"gps","51.837245:5.84968"
"129","2016-07-28T12:41:04Z",51.836568,5.849442,"83.515.531","8.000.000","189.973.953",0,11,"gps","51.836568:5.849442"
"130","2016-07-28T12:41:39Z",51.83528,5.849223,"77.573.287","8.000.000","188.296.234",9.427123,6,"gps","51.83528:5.849223"
"131","2016-07-28T12:41:57Z",51.833769,5.848832,"75.322.338","6.000.000","189.421.646",6.858673,11,"gps","51.833769:5.848832"
"132","2016-07-28T12:42:08Z",51.833193,5.848643,"78.864.866","8.000.000","207.397.568",4.934111,12,"gps","51.833193:5.848643"
"133","2016-07-28T12:42:23Z",51.833175,5.847517,"71.926.140","16.000.000","0",0.836327,10,"gps","51.833175:5.847517"
"134","2016-07-28T12:43:06Z",51.832327,5.846691,"67.947.666","6.000.000","173.115.067",8.25422,10,"gps","51.832327:5.846691"
"135","2016-07-28T12:43:17Z",51.831628,5.846804,"67.861.934","6.000.000","173.231.659",4.026441,11,"gps","51.831628:5.846804"
